freq,unit,age,isced11,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,Y30,TOTAL,AT	4950 	4937 	5134 	5304 	5671 	5833 	: 	: 	: 	: 	: 	: 	: 	6425 	6449 	6247 	5846 
A,NR,Y30,TOTAL,AZ	: 	: 	: 	: 	: 	: 	6049 	5989 	6241 	6070 	5815 	5871 	5950 	: 	: 	: 	: 
A,NR,Y30,TOTAL,BA	: 	: 	: 	2045 	: 	2135 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y30,TOTAL,BE	9327 	9898 	9929 	10417 	10170 	10224 	: 	10129 	: 	: 	: 	: 	: 	10036 	10487 	9947 	9463 
A,NR,Y30,TOTAL,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3904 	3712 	3321 	3193 
A,NR,Y30,TOTAL,BY	: 	: 	: 	: 	: 	: 	: 	: 	7781 	7877 	7094 	: 	: 	: 	: 	: 	: 
A,NR,Y30,TOTAL,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6720 	6771 	6393 	5813 
A,NR,Y30,TOTAL,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	764 	732 	748 	731 
A,NR,Y30,TOTAL,CZ	10610 	11071 	10712 	10062 	8699 	8668 	8333 	8794 	8733 	8620 	8835 	8879 	8758 	8431 	9296 	7953 	7362 
A,NR,Y30,TOTAL,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	61117 	61747 	53884 	48646 
A,NR,Y30,TOTAL,DK	5234 	5234 	5154 	5060 	4571 	4372 	4267 	4332 	4543 	4869 	4910 	4958 	5118 	5358 	5576 	5296 	5400 
A,NR,Y30,TOTAL,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	220387 	223587 	207966 	192901 
A,NR,Y30,TOTAL,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	222930 	226242 	210402 	195265 
A,NR,Y30,TOTAL,EE	901 	937 	908 	954 	984 	920 	: 	: 	984 	: 	953 	1131 	1108 	1059 	1055 	844 	722 
A,NR,Y30,TOTAL,EFTA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11728 	11933 	11152 	10554 
A,NR,Y30,TOTAL,EL	8409 	8651 	8494 	8581 	8010 	7631 	7200 	6579 	6400 	6261 	5678 	5494 	5322 	5269 	5381 	4643 	4360 
A,NR,Y30,TOTAL,ES	36810 	37631 	34271 	33096 	30747 	28741 	26005 	25931 	24659 	23528 	22270 	20565 	: 	18771 	18796 	18188 	17868 
A,NR,Y30,TOTAL,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	296812 	299304 	275936 	255321 
A,NR,Y30,TOTAL,FI	4310 	4393 	4304 	4440 	4294 	4197 	4483 	4231 	4150 	3673 	3442 	3468 	3323 	3522 	3789 	3368 	3286 
A,NR,Y30,TOTAL,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	54423 	54759 	52761 	47343 
A,NR,Y30,TOTAL,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2768 	3033 	2854 	2337 
A,NR,Y30,TOTAL,HR	2713 	2939 	3207 	3247 	3021 	3049 	2948 	2958 	2896 	2715 	2692 	2743 	2583 	2543 	2655 	2436 	2364 
A,NR,Y30,TOTAL,HU	7995 	7923 	7283 	6811 	6307 	6081 	5665 	5905 	5807 	6192 	6024 	6025 	6002 	6073 	6587 	6343 	5857 
A,NR,Y30,TOTAL,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2873 	3279 	2596 	2601 
A,NR,Y30,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	390 	341 	348 	363 
A,NR,Y30,TOTAL,IT	39194 	38338 	37290 	35946 	34552 	34055 	32602 	31915 	30810 	29597 	28841 	28543 	: 	26520 	26187 	25967 	24369 
A,NR,Y30,TOTAL,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27 	25 	20 	27 
A,NR,Y30,TOTAL,LT	: 	: 	: 	: 	: 	1973 	1925 	2155 	2197 	2256 	2133 	2151 	1847 	1891 	1911 	1756 	1715 
A,NR,Y30,TOTAL,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	480 	466 	477 	470 
A,NR,Y30,TOTAL,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1488 	1411 	1335 	1333 	1325 	1138 	982 
A,NR,Y30,TOTAL,MD	: 	: 	: 	: 	: 	: 	: 	2184 	2164 	2313 	2252 	2216 	2031 	1840 	1705 	1560 p	1399 
A,NR,Y30,TOTAL,ME	432 	499 	487 	450 	: 	: 	: 	: 	: 	: 	: 	: 	: 	472 	480 	491 	499 
A,NR,Y30,TOTAL,MK	1249 	1278 	1368 	1506 	1492 	1583 	1515 	1627 	1533 	1549 	1473 	1458 	1380 	1311 	1262 	1247 	1218 
A,NR,Y30,TOTAL,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	334 	365 	283 	337 
A,NR,Y30,TOTAL,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14885 	16069 	14471 	13747 
A,NR,Y30,TOTAL,NO	4255 	4321 	4406 	4487 	4434 	4517 	4436 	4476 	4393 	4604 	4615 	4577 	4554 	4591 	4796 	4391 	4351 
A,NR,Y30,TOTAL,PL	: 	27619 	28473 	29240 	27389 	27672 	28385 	29660 	29145 	29923 	30249 	29092 	28113 	27262 	26791 	23616 	21168 
A,NR,Y30,TOTAL,PT	8009 	7711 	7101 	7193 	6824 	6398 	5836 	5636 	5759 	5370 	5382 	5458 	5446 	5193 	5187 	5521 	5758 
A,NR,Y30,TOTAL,RO	12206 	12799 	13328 	12970 	11758 	11227 	9874 	10963 	12243 	12582 	14243 	13976 	13648 	13398 	11120 	10224 	8937 
A,NR,Y30,TOTAL,RS	: 	4090 	4396 	4359 	4382 	4519 	4423 	4587 	4614 	4323 	4372 	4439 	4383 	4113 	4171 	4196 	4031 
A,NR,Y30,TOTAL,SE	7876 	7930 	8184 	8426 	7986 	8166 	8174 	8220 	8482 	8886 	8666 	9046 	9061 	9456 	9980 	8781 	8139 
A,NR,Y30,TOTAL,SI	1745 	1861 	1909 	1986 	1938 	: 	1701 	: 	: 	1665 	1682 	1705 	1525 	1478 	1561 	1358 	1253 
A,NR,Y30,TOTAL,SK	3791 	4206 	4581 	4483 	4378 	3856 	3839 	4066 	4143 	4206 	4171 	4100 	4013 	4014 	4042 	3769 	3404 
A,NR,Y30,TOTAL,SM	: 	: 	: 	: 	: 	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y30,TOTAL,TR	: 	: 	: 	: 	74815 	74945 	68758 	74007 	74288 	74260 	73534 	72891 	69531 	66517 	: 	64053 	: 
A,NR,Y30,TOTAL,UA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16826 	: 	: 
A,NR,Y30,TOTAL,XK	: 	2002 	: 	: 	1667 	: 	: 	: 	1528 	1494 	1501 	1459 	1475 	: 	: 	: 	: 
A,NR,Y30,UNK,AT	291 	390 	406 	407 	562 	617 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y30,UNK,AZ	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A,NR,Y30,UNK,BA	: 	: 	: 	30 	: 	38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y30,UNK,BE	871 	976 	910 	1059 	1101 	1241 	: 	916 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y30,UNK,CZ	14 	130 	213 	396 	338 	358 	482 	746 	940 	1220 	1293 	1160 	1057 	1063 	1306 	1044 	971 
A,NR,Y30,UNK,DK	235 	226 	262 	259 	288 	302 	363 	456 	480 	319 	362 	447 	530 	642 	751 	: 	: 
A,NR,Y30,UNK,EE	0 	0 	0 	1 	0 	16 	: 	: 	5 	: 	5 	4 	1 	: 	: 	1 	3 
A,NR,Y30,UNK,EL	0 	0 	0 	0 	0 	0 	682 	607 	632 	528 	397 	394 	428 	363 	300 	210 	259 
A,NR,Y30,UNK,ES	2556 	1586 	1326 	1506 	1555 	1992 	1948 	2042 	2667 	7520 	7939 	8049 	: 	: 	: 	: 	: 
A,NR,Y30,UNK,FI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	7 	231 	253 
A,NR,Y30,UNK,HR	65 	80 	88 	86 	87 	93 	75 	57 	34 	43 	16 	151 	133 	181 	133 	125 	109 
A,NR,Y30,UNK,HU	48 	67 	54 	48 	59 	52 	204 	266 	133 	336 	451 	498 	577 	425 	487 	539 	613 
A,NR,Y30,UNK,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	124 	64 	68 	54 	52 	42 	23 
A,NR,Y30,UNK,ME	0 	0 	13 	292 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y30,UNK,MK	18 	11 	30 	26 	23 	17 	18 	6 	18 	11 	7 	9 	8 	5 	19 	: 	: 
A,NR,Y30,UNK,NO	378 	446 	508 	594 	165 	187 	285 	330 	358 	398 	419 	506 	324 	272 	: 	260 	: 
A,NR,Y30,UNK,PL	: 	76 	112 	31 	21 	22 	22 	33 	36 	7 	5 	260 	537 	1755 	1806 	2054 	1899 
A,NR,Y30,UNK,PT	47 	34 	65 	96 	96 	107 	119 	181 	215 	233 	324 	373 	368 	423 	358 	439 	276 
A,NR,Y30,UNK,RO	591 	833 	640 	630 	0 	676 	1174 	535 	810 	731 	1065 	1002 	1323 	1406 	984 	363 	235 
A,NR,Y30,UNK,RS	: 	22 	23 	31 	13 	25 	17 	20 	20 	22 	17 	15 	18 	28 	30 	16 	16 
A,NR,Y30,UNK,SE	127 	123 	172 	194 	155 	163 	183 	137 	164 	182 	185 	203 	219 	197 	: 	169 	174 
A,NR,Y30,UNK,SI	185 	191 	33 	0 	0 	: 	0 	: 	: 	0 	0 	0 	0 	0 	: 	0 	0 
A,NR,Y30,UNK,SK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	11 	36 
A,NR,Y30,UNK,SM	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y30,UNK,TR	: 	: 	: 	: 	4157 	4574 	4248 	4828 	1401 	1765 	1196 	1332 	1368 	939 	: 	1376 	: 
A,NR,Y30,UNK,XK	: 	78 	: 	: 	35 	: 	: 	: 	43 	48 	46 	45 	39 	: 	: 	: 	: 
A,NR,Y30-34,ED0-2,AZ	: 	: 	: 	: 	: 	: 	300 	298 	317 	228 	114 	146 	126 	: 	: 	: 	: 
A,NR,Y30-34,ED0-2,BE	: 	: 	: 	: 	: 	: 	: 	4826 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y30-34,ED0-2,CZ	: 	: 	: 	: 	: 	: 	1516 	1386 	1352 	1387 	1454 	1513 	1497 	: 	: 	: 	: 
A,NR,Y30-34,ED0-2,DK	: 	: 	: 	: 	: 	: 	1475 	1402 	1361 	1632 	1564 	1540 	1551 	: 	: 	: 	: 
A,NR,Y30-34,ED0-2,EE	: 	: 	: 	: 	: 	: 	: 	: 	266 	: 	319 	379 	335 	: 	: 	: 	: 
A,NR,Y30-34,ED0-2,EL	: 	: 	: 	: 	: 	: 	3280 	2898 	2660 	2589 	2425 	2171 	2020 	: 	: 	: 	: 
A,NR,Y30-34,ED0-2,ES	: 	: 	: 	: 	: 	: 	40870 	41513 	40683 	31639 	29133 	26255 	: 	: 	: 	: 	: 
A,NR,Y30-34,ED0-2,FI	: 	: 	: 	: 	: 	: 	1543 	1654 	1799 	1788 	1869 	1566 	1475 	: 	: 	: 	: 
A,NR,Y30-34,ED0-2,HR	: 	: 	: 	: 	: 	: 	406 	433 	344 	326 	316 	344 	315 	: 	: 	: 	: 
A,NR,Y30-34,ED0-2,HU	: 	: 	: 	: 	: 	: 	2351 	2532 	2277 	2358 	2238 	2197 	2047 	: 	: 	: 	: 
A,NR,Y30-34,ED0-2,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	521 	481 	415 	: 	: 	: 	: 
A,NR,Y30-34,ED0-2,MK	: 	: 	: 	: 	: 	: 	1834 	1660 	1523 	1390 	1316 	1174 	1084 	: 	: 	: 	: 
A,NR,Y30-34,ED0-2,NO	: 	: 	: 	: 	: 	: 	2162 	2048 	2051 	2045 	1983 	2126 	2231 	: 	: 	: 	: 
A,NR,Y30-34,ED0-2,PL	: 	: 	: 	: 	: 	: 	3356 	3115 	2761 	2732 	2976 	2799 	2851 	: 	: 	: 	: 
A,NR,Y30-34,ED0-2,PT	: 	: 	: 	: 	: 	: 	6209 	6072 	6289 	6076 	5810 	5374 	5156 	: 	: 	: 	: 
A,NR,Y30-34,ED0-2,RO	: 	: 	: 	: 	: 	: 	8467 	9765 	9085 	9215 	9279 	8833 	8555 	: 	: 	: 	: 
A,NR,Y30-34,ED0-2,RS	: 	: 	: 	: 	: 	: 	1502 	1487 	1327 	1275 	1299 	1329 	1430 	: 	: 	: 	: 
A,NR,Y30-34,ED0-2,SE	: 	: 	: 	: 	: 	: 	3905 	4202 	4152 	4330 	4653 	4478 	4360 	: 	: 	: 	: 
A,NR,Y30-34,ED0-2,SI	: 	: 	: 	: 	: 	: 	323 	: 	: 	332 	303 	275 	311 	: 	: 	: 	: 
A,NR,Y30-34,ED0-2,SK	: 	: 	: 	: 	: 	: 	1116 	1241 	1224 	1192 	1239 	1158 	1185 	: 	: 	: 	: 
A,NR,Y30-34,ED0-2,TR	: 	: 	: 	: 	: 	: 	173676 	179515 	171889 	158087 	148771 	139967 	126927 	: 	: 	: 	: 
A,NR,Y30-34,ED0-2,XK	: 	: 	: 	: 	: 	: 	: 	: 	2536 	2174 	2009 	1694 	1461 	: 	: 	: 	: 
A,NR,Y30-34,ED3_4,AZ	: 	: 	: 	: 	: 	: 	16984 	16691 	16522 	16193 	15044 	15307 	16504 	: 	: 	: 	: 
A,NR,Y30-34,ED3_4,BE	: 	: 	: 	: 	: 	: 	: 	11699 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y30-34,ED3_4,CZ	: 	: 	: 	: 	: 	: 	19907 	18961 	16568 	15210 	15109 	14455 	14297 	: 	: 	: 	: 
A,NR,Y30-34,ED3_4,DK	: 	: 	: 	: 	: 	: 	5392 	5136 	5110 	5214 	5221 	4992 	4780 	: 	: 	: 	: 
A,NR,Y30-34,ED3_4,EE	: 	: 	: 	: 	: 	: 	: 	: 	1398 	: 	1473 	1632 	1600 	: 	: 	: 	: 
A,NR,Y30-34,ED3_4,EL	: 	: 	: 	: 	: 	: 	15317 	13624 	13155 	12903 	11501 	11036 	9958 	: 	: 	: 	: 
A,NR,Y30-34,ED3_4,ES	: 	: 	: 	: 	: 	: 	43621 	42207 	38642 	27156 	24064 	21050 	: 	: 	: 	: 	: 
A,NR,Y30-34,ED3_4,FI	: 	: 	: 	: 	: 	: 	6226 	6115 	6179 	5788 	5417 	5209 	5027 	: 	: 	: 	: 
A,NR,Y30-34,ED3_4,HR	: 	: 	: 	: 	: 	: 	6725 	6787 	6185 	6159 	5786 	5404 	4885 	: 	: 	: 	: 
A,NR,Y30-34,ED3_4,HU	: 	: 	: 	: 	: 	: 	11717 	11757 	11689 	11440 	11249 	11341 	11077 	: 	: 	: 	: 
A,NR,Y30-34,ED3_4,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1662 	1778 	1658 	: 	: 	: 	: 
A,NR,Y30-34,ED3_4,MK	: 	: 	: 	: 	: 	: 	1746 	1966 	1901 	1939 	1787 	1789 	1607 	: 	: 	: 	: 
A,NR,Y30-34,ED3_4,NO	: 	: 	: 	: 	: 	: 	3759 	3822 	3633 	3588 	3396 	3184 	3292 	: 	: 	: 	: 
A,NR,Y30-34,ED3_4,PL	: 	: 	: 	: 	: 	: 	39631 	40040 	38746 	40184 	44268 	41518 	38804 	: 	: 	: 	: 
A,NR,Y30-34,ED3_4,PT	: 	: 	: 	: 	: 	: 	8053 	7928 	8621 	8546 	8276 	8134 	7988 	: 	: 	: 	: 
A,NR,Y30-34,ED3_4,RO	: 	: 	: 	: 	: 	: 	12747 	15938 	15932 	16396 	17328 	17744 	17876 	: 	: 	: 	: 
A,NR,Y30-34,ED3_4,RS	: 	: 	: 	: 	: 	: 	8726 	8762 	8950 	8582 	7936 	7524 	7708 	: 	: 	: 	: 
A,NR,Y30-34,ED3_4,SE	: 	: 	: 	: 	: 	: 	10941 	10832 	10904 	10971 	10982 	11403 	11601 	: 	: 	: 	: 
A,NR,Y30-34,ED3_4,SI	: 	: 	: 	: 	: 	: 	2848 	: 	: 	2448 	2437 	2385 	2178 	: 	: 	: 	: 
A,NR,Y30-34,ED3_4,SK	: 	: 	: 	: 	: 	: 	7742 	7509 	7130 	7035 	6714 	6388 	5921 	: 	: 	: 	: 
A,NR,Y30-34,ED3_4,TR	: 	: 	: 	: 	: 	: 	63873 	70720 	60607 	60990 	61682 	61891 	59360 	: 	: 	: 	: 
A,NR,Y30-34,ED3_4,XK	: 	: 	: 	: 	: 	: 	: 	: 	2061 	2004 	2155 	2115 	2117 	: 	: 	: 	: 
A,NR,Y30-34,ED5-8,AZ	: 	: 	: 	: 	: 	: 	3593 	4275 	4591 	4827 	5248 	5141 	5228 	: 	: 	: 	: 
A,NR,Y30-34,ED5-8,BE	: 	: 	: 	: 	: 	: 	: 	21864 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y30-34,ED5-8,CZ	: 	: 	: 	: 	: 	: 	13993 	14856 	15929 	16238 	16981 	18079 	17912 	: 	: 	: 	: 
A,NR,Y30-34,ED5-8,DK	: 	: 	: 	: 	: 	: 	11168 	11036 	11323 	12592 	12782 	13408 	13763 	: 	: 	: 	: 
A,NR,Y30-34,ED5-8,EE	: 	: 	: 	: 	: 	: 	: 	: 	2367 	: 	2604 	2835 	2886 	: 	: 	: 	: 
A,NR,Y30-34,ED5-8,EL	: 	: 	: 	: 	: 	: 	13282 	14847 	14967 	15508 	15207 	14399 	14431 	: 	: 	: 	: 
A,NR,Y30-34,ED5-8,ES	: 	: 	: 	: 	: 	: 	60025 	58596 	52580 	35128 	30569 	26742 	: 	: 	: 	: 	: 
A,NR,Y30-34,ED5-8,FI	: 	: 	: 	: 	: 	: 	11550 	11244 	10985 	10071 	9834 	9295 	9056 	: 	: 	: 	: 
A,NR,Y30-34,ED5-8,HR	: 	: 	: 	: 	: 	: 	5502 	5647 	5841 	6150 	6315 	6357 	6401 	: 	: 	: 	: 
A,NR,Y30-34,ED5-8,HU	: 	: 	: 	: 	: 	: 	13068 	13317 	13120 	13228 	12777 	12579 	12286 	: 	: 	: 	: 
A,NR,Y30-34,ED5-8,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3676 	3645 	3654 	: 	: 	: 	: 
A,NR,Y30-34,ED5-8,MK	: 	: 	: 	: 	: 	: 	2368 	2637 	2963 	3158 	2886 	3041 	2873 	: 	: 	: 	: 
A,NR,Y30-34,ED5-8,NO	: 	: 	: 	: 	: 	: 	12643 	12891 	12685 	13166 	12846 	12875 	13575 	: 	: 	: 	: 
A,NR,Y30-34,ED5-8,PL	: 	: 	: 	: 	: 	: 	66679 	73735 	77462 	83248 	87626 	83329 	79648 	: 	: 	: 	: 
A,NR,Y30-34,ED5-8,PT	: 	: 	: 	: 	: 	: 	13953 	13687 	13999 	13664 	12848 	13155 	13131 	: 	: 	: 	: 
A,NR,Y30-34,ED5-8,RO	: 	: 	: 	: 	: 	: 	18740 	19617 	20391 	22034 	23538 	24439 	24595 	: 	: 	: 	: 
A,NR,Y30-34,ED5-8,RS	: 	: 	: 	: 	: 	: 	8329 	8958 	9321 	9450 	10200 	10666 	10663 	: 	: 	: 	: 
A,NR,Y30-34,ED5-8,SE	: 	: 	: 	: 	: 	: 	23092 	23034 	22555 	22890 	22558 	23455 	23905 	: 	: 	: 	: 
A,NR,Y30-34,ED5-8,SI	: 	: 	: 	: 	: 	: 	4450 	: 	: 	4570 	4569 	4396 	4396 	: 	: 	: 	: 
A,NR,Y30-34,ED5-8,SK	: 	: 	: 	: 	: 	: 	7751 	8156 	8881 	9573 	10132 	10554 	10764 	: 	: 	: 	: 
A,NR,Y30-34,ED5-8,TR	: 	: 	: 	: 	: 	: 	50809 	54163 	84056 	87833 	92608 	96714 	98834 	: 	: 	: 	: 
A,NR,Y30-34,ED5-8,XK	: 	: 	: 	: 	: 	: 	: 	: 	1258 	1516 	1652 	1930 	2096 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,AM	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7897 	: 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,AZ	: 	: 	: 	: 	: 	: 	20877 	21264 	21430 	21248 	20406 	20594 	21858 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,BE	: 	: 	: 	: 	: 	: 	: 	42480 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,BY	: 	: 	: 	: 	: 	: 	: 	: 	30669 	31927 	29191 	: 	: 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,CZ	: 	: 	: 	: 	: 	: 	37841 	38620 	38285 	38862 	39442 	39505 	39047 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,DK	: 	: 	: 	: 	: 	: 	19623 	19414 	19885 	20816 	20881 	21541 	22097 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,EE	: 	: 	: 	: 	: 	: 	: 	: 	4048 	: 	4418 	4872 	4831 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,EL	: 	: 	: 	: 	: 	: 	35433 	34800 	34264 	33842 	31236 	29781 	28562 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,ES	: 	: 	: 	: 	: 	: 	155443 	153787 	148211 	141470 	132442 	123385 	: 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,FI	: 	: 	: 	: 	: 	: 	19319 	19013 	18963 	17647 	17120 	16070 	15558 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,HR	: 	: 	: 	: 	: 	: 	12938 	13087 	12497 	12779 	12482 	12787 	12328 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,HU	: 	: 	: 	: 	: 	: 	28061 	28846 	27737 	28531 	28378 	28550 	28006 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6269 	6173 	6083 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,MK	: 	: 	: 	: 	: 	: 	6005 	6310 	6452 	6539 	6031 	6055 	5604 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,NO	: 	: 	: 	: 	: 	: 	19708 	20035 	19788 	20418 	20057 	20184 	20453 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,PL	: 	: 	: 	: 	: 	: 	109789 	117017 	119140 	126194 	134904 	128762 	123784 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,PT	: 	: 	: 	: 	: 	: 	28833 	28645 	30126 	29769 	28668 	28676 	28160 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,RO	: 	: 	: 	: 	: 	: 	45058 	47582 	48474 	50531 	54283 	55040 	56540 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,RS	: 	: 	: 	: 	: 	: 	18632 	19317 	19695 	19432 	19506 	19598 	19884 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,SE	: 	: 	: 	: 	: 	: 	38665 	38676 	38273 	38968 	39039 	40199 	40802 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,SI	: 	: 	: 	: 	: 	: 	7621 	: 	: 	7350 	7309 	7056 	6885 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,SK	: 	: 	: 	: 	: 	: 	16609 	16906 	17235 	17800 	18085 	18100 	17870 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,TR	: 	: 	: 	: 	: 	: 	306524 	325138 	321302 	313395 	308176 	304138 	290990 	: 	: 	: 	: 
A,NR,Y30-34,TOTAL,XK	: 	: 	: 	: 	: 	: 	: 	: 	6029 	5859 	5993 	5906 	5819 	: 	: 	: 	: 
A,NR,Y30-34,UNK,AZ	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A,NR,Y30-34,UNK,BE	: 	: 	: 	: 	: 	: 	: 	4091 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,Y30-34,UNK,CZ	: 	: 	: 	: 	: 	: 	2425 	3417 	4436 	6027 	5898 	5458 	5341 	: 	: 	: 	: 
A,NR,Y30-34,UNK,DK	: 	: 	: 	: 	: 	: 	1588 	1840 	2091 	1378 	1314 	1601 	2003 	: 	: 	: 	: 
A,NR,Y30-34,UNK,EE	: 	: 	: 	: 	: 	: 	: 	: 	17 	: 	22 	26 	10 	: 	: 	: 	: 
A,NR,Y30-34,UNK,EL	: 	: 	: 	: 	: 	: 	3554 	3431 	3482 	2842 	2103 	2175 	2153 	: 	: 	: 	: 
A,NR,Y30-34,UNK,ES	: 	: 	: 	: 	: 	: 	10927 	11471 	16306 	47547 	48676 	49338 	: 	: 	: 	: 	: 
A,NR,Y30-34,UNK,FI	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A,NR,Y30-34,UNK,HR	: 	: 	: 	: 	: 	: 	305 	220 	127 	144 	65 	682 	727 	: 	: 	: 	: 
A,NR,Y30-34,UNK,HU	: 	: 	: 	: 	: 	: 	925 	1240 	651 	1505 	2114 	2433 	2596 	: 	: 	: 	: 
A,NR,Y30-34,UNK,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	410 	269 	356 	: 	: 	: 	: 
A,NR,Y30-34,UNK,MK	: 	: 	: 	: 	: 	: 	57 	47 	65 	52 	42 	51 	40 	: 	: 	: 	: 
A,NR,Y30-34,UNK,NO	: 	: 	: 	: 	: 	: 	1144 	1274 	1419 	1619 	1832 	1999 	1355 	: 	: 	: 	: 
A,NR,Y30-34,UNK,PL	: 	: 	: 	: 	: 	: 	123 	127 	171 	30 	34 	1116 	2481 	: 	: 	: 	: 
A,NR,Y30-34,UNK,PT	: 	: 	: 	: 	: 	: 	618 	958 	1217 	1483 	1734 	2013 	1885 	: 	: 	: 	: 
A,NR,Y30-34,UNK,RO	: 	: 	: 	: 	: 	: 	5104 	2262 	3066 	2886 	4138 	4024 	5514 	: 	: 	: 	: 
A,NR,Y30-34,UNK,RS	: 	: 	: 	: 	: 	: 	75 	110 	97 	125 	71 	79 	83 	: 	: 	: 	: 
A,NR,Y30-34,UNK,SE	: 	: 	: 	: 	: 	: 	727 	608 	662 	777 	846 	863 	936 	: 	: 	: 	: 
A,NR,Y30-34,UNK,SI	: 	: 	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 
A,NR,Y30-34,UNK,SK	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A,NR,Y30-34,UNK,TR	: 	: 	: 	: 	: 	: 	18166 	20740 	4750 	6485 	5115 	5566 	5869 	: 	: 	: 	: 
