freq,unit,age,isced11,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,TOTAL,ED3_4,SI	8815 	9273 	10652 	10833 	9975 	: 	9336 	: 	: 	8081 	8099 	7890 	7625 	7443 	: 	6903 	6655 
A,NR,TOTAL,ED3_4,SK	33686 	34824 	35659 	33071 	31702 	27126 	25973 	24966 	24415 	24571 	24084 	23493 	22215 	22045 	21638 	19879 	19210 
A,NR,TOTAL,ED3_4,SM	: 	: 	: 	: 	: 	123 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,ED3_4,TR	: 	: 	: 	: 	240666 	256973 	264271 	283655 	249690 	247566 	245421 	247014 	239225 	240981 	: 	253430 	: 
A,NR,TOTAL,ED3_4,XK	10200 	15216 	: 	: 	9901 	: 	: 	: 	9657 	9218 	9385 	9295 	8984 	: 	: 	: 	: 
A,NR,TOTAL,ED5-8,AM	: 	: 	9133 	: 	: 	: 	: 	14112 	14177 	14750 	13791 	13612 	13823 	14764 	: 	15300 	14205 
A,NR,TOTAL,ED5-8,AT	11395 	12187 	12485 	13825 	14183 	15303 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,ED5-8,AZ	14597 	: 	15776 	31611 	: 	19640 	19446 	22313 	22427 	23016 	23504 	22801 	23231 	22193 	20344 	: 	: 
A,NR,TOTAL,ED5-8,BA	: 	: 	: 	5641 	: 	7126 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,ED5-8,BE	49830 	51327 	51147 	52103 	49844 	49056 	: 	50890 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,ED5-8,BY	58602 	: 	66957 	: 	72205 	: 	: 	: 	89677 	90088 	79719 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,ED5-8,CZ	18185 	21190 	22917 	25225 	26163 	28888 	29760 	31873 	34682 	35680 	37951 	40506 	40651 	40965 	41901 	37754 	33894 
A,NR,TOTAL,ED5-8,DK	26309 	27144 	26850 	27941 	26317 	26017 	25086 	25813 	26747 	30015 	31097 	31706 	31567 	32016 	33652 	: 	: 
A,NR,TOTAL,ED5-8,EE	4903 	5419 	5709 	6144 	6569 	6214 	: 	: 	6575 	: 	6822 	7009 	7127 	: 	: 	6158 	5655 
A,NR,TOTAL,ED5-8,EL	27982 	30198 	31558 	32312 	31249 	31656 	30630 	32975 	33601 	34746 	35128 	34560 	35917 	37896 	42045 	37310 	35211 
A,NR,TOTAL,ED5-8,ES	133102 	147294 	149284 	153955 	156754 	150044 	144118 	144496 	133791 	92584 	82383 	73485 	: 	: 	: 	: 	: 
